episode,ep_meanFlowTime,all_loss,p_loss,e_loss,v_loss,v_mre,grad_changes,time_elapsed_h
172,635.412132,0.078784,-0.302852,1.185201,0.157567,16.357096,0.0,4.5996
173,375.830312,0.052725,0.469841,1.237965,0.10545,127.085317,0.0,4.6195
174,421.356093,0.081759,0.059649,1.279969,0.163518,32.282138,0.0,4.6404
175,325.568132,0.031476,0.192023,1.264613,0.062951,29.52181,0.0,4.6601
176,499.673604,0.044679,-0.255069,1.22186,0.089357,15.050413,0.0,4.6809
177,381.706998,0.037708,0.030304,1.271586,0.075416,19.983523,0.0,4.7006
178,374.715114,0.030007,-0.007931,1.174513,0.060015,18.521805,0.0,4.7204
179,291.49686,0.050513,0.312792,1.273444,0.101026,121.05603,0.0,4.7408
180,454.454222,0.101355,-0.406475,1.279778,0.202711,30.98188,0.0,4.7598
181,314.329961,0.036866,0.335875,1.303204,0.073731,42.142555,0.0,4.8912
182,325.621681,0.030392,0.102229,1.318944,0.060784,53.809335,0.0,4.9104
183,442.656308,0.094486,-0.388666,1.315554,0.188972,29.14655,0.0,4.9307
184,395.805391,0.040794,0.04025,1.203024,0.081587,21.978743,0.0,4.9511
185,410.886728,0.041311,0.087512,1.280035,0.082622,17.117246,0.0,4.9708
186,311.462069,0.022603,0.063973,1.219242,0.045207,19.980286,0.0,4.9907
187,484.749206,0.081017,-0.284663,1.193188,0.162035,41.576064,0.0,5.0135
188,472.199896,0.064602,0.043209,1.217034,0.129205,21.170782,0.0,5.0342
189,377.232289,0.036086,0.234121,1.230827,0.072171,147.240859,0.0,5.0549
190,359.670047,0.023636,-0.132035,1.286831,0.047272,19.587234,0.0,5.0752
191,389.439755,0.04723,-0.129738,1.282795,0.094461,25.462034,0.0,5.0946
192,461.433463,0.038028,0.06076,1.249391,0.076056,16.907557,0.0,5.1149
193,335.498986,0.062034,0.001518,1.235931,0.124067,29.052059,0.0,5.1346
194,330.150352,0.047883,0.183993,1.293805,0.095767,126.632636,0.0,5.1545
195,426.320887,0.052935,0.132648,1.232857,0.10587,20.597603,0.0,5.176
196,339.934158,0.051686,0.23806,1.243967,0.103371,81.557291,0.0,5.1974
197,278.116315,0.057566,-0.34004,1.274199,0.115132,84.621891,0.0,5.2157
198,273.001249,0.023817,0.005096,1.27651,0.047633,21.018284,0.0,5.2343
199,428.599816,0.050526,-0.39108,1.25202,0.101052,17.570383,0.0,5.254
200,466.313523,0.062962,0.187132,1.26488,0.125924,21.696868,0.0,5.2759
201,371.611789,0.016912,0.021148,1.280852,0.076119,16.427144,0.036052,5.4084
202,439.148289,0.488896,-0.351255,1.329221,0.275281,40.554776,0.061538,5.429
203,604.314486,0.75512,-0.671644,1.525644,0.166951,17.977689,0.066112,5.4491
204,548.375867,-0.22712,0.336753,1.592753,0.219266,85.543969,0.041662,5.4711
205,429.378463,0.062883,-0.001316,1.496286,0.123135,21.616501,0.022803,5.4918
206,461.152027,0.361828,-0.317453,1.474247,0.08875,19.380173,0.045705,5.5113
207,378.233999,-0.286923,0.376166,1.447825,0.178487,58.890709,0.036556,5.5314
208,450.017036,0.061865,0.002791,1.482636,0.129311,19.627417,0.038352,5.5523
209,518.687884,0.326516,-0.254631,1.466511,0.14377,61.286332,0.03396,5.5735
210,451.144655,-0.105827,0.166454,1.419579,0.121254,28.199201,0.028133,5.5935
211,391.343604,0.027828,0.00999,1.355399,0.075635,19.12848,0.020355,5.6133
212,287.572181,-0.13229,0.165219,1.325094,0.065859,110.511724,0.016144,5.6321
213,386.520796,0.290179,-0.231245,1.29093,0.117868,32.543562,0.029005,5.6522
214,382.169267,-0.137205,0.160406,1.305496,0.046403,14.074196,0.018258,5.6727
215,330.284934,-0.051466,0.099697,1.19721,0.096462,28.400663,0.019658,5.6928
216,343.389378,0.140597,-0.098624,1.247368,0.083945,21.993995,0.025938,5.7126
217,594.03897,0.422948,-0.31529,1.196347,0.215317,20.041465,0.043439,5.7349
218,283.374032,-0.458406,0.499949,1.166179,0.083086,55.676376,0.028712,5.7543
219,447.492137,0.268704,-0.182061,1.201059,0.173287,22.577336,0.034697,5.7764
220,349.606958,0.297318,-0.237813,1.361432,0.119009,28.181655,0.032595,5.7954
221,346.052309,0.155121,-0.07007,1.320296,0.170101,83.636876,0.033348,5.927
222,211.235003,-0.223069,0.258382,1.328776,0.070626,44.714721,0.027435,5.9463
223,343.064602,0.289948,-0.238159,1.335432,0.103579,228.829568,0.02754,5.9656
224,439.496722,0.027508,0.031851,1.334776,0.118718,49.242873,0.035055,5.9869
225,505.929094,0.29301,-0.236579,1.35283,0.112862,17.296102,0.032426,6.0075
226,460.767946,0.133008,-0.066953,1.396228,0.132109,20.924797,0.030042,6.0266
227,563.275556,0.303323,-0.132704,1.388912,0.341238,23.465146,0.051013,6.0474
228,459.372434,-0.030574,0.076719,1.348491,0.092291,17.14423,0.02723,6.0681
229,445.446522,-0.174832,0.221403,1.283978,0.093144,17.406086,0.028342,6.0891
230,394.912349,0.196194,-0.150813,1.262231,0.090763,18.723229,0.026623,6.1091
231,370.575926,0.05351,-0.014034,1.231113,0.078952,22.739061,0.02481,6.1285
232,279.340465,-0.102547,0.156265,1.181558,0.107437,159.582376,0.029948,6.1486
233,274.765047,0.04346,-0.006122,1.28746,0.074676,28.985276,0.025961,6.1678
234,621.754343,0.762133,-0.673063,1.292088,0.178139,19.206357,0.065481,6.1887
235,329.594315,-0.381306,0.411818,1.264933,0.061024,18.650787,0.038807,6.2081
236,730.266276,0.886771,-0.727118,1.305821,0.319306,17.888475,0.074647,6.2316
237,473.749955,-0.1959,0.284005,1.230009,0.176209,36.186988,0.042146,6.2526
238,422.248919,0.192186,-0.143315,1.300438,0.097741,37.764249,0.031015,6.2715
239,461.110909,-0.198054,0.239411,1.246992,0.082714,16.803775,0.029843,6.2922
240,557.026486,0.39335,-0.168516,1.16996,0.449668,26.000116,0.103254,6.3143
241,301.854241,-0.220573,0.262858,1.308453,0.08457,22.46452,0.030963,6.4458
242,568.54645,0.782227,-0.519662,1.290669,0.525131,31.248509,0.073962,6.4695
243,585.322882,0.750251,-0.40625,1.381032,0.688002,32.410968,0.069204,6.4922
244,354.862265,-0.465053,0.547779,1.232707,0.165452,160.329148,0.052204,6.5109
245,556.603362,0.661426,-0.473809,1.164434,0.375233,23.229796,0.066742,6.5317
246,1046.918976,3.75963,-1.415898,1.225761,4.687465,49.218479,0.342087,6.5554
247,499.389363,-1.720678,2.714325,1.151594,1.987294,141.927432,0.25912,6.5797
248,391.266637,0.589293,-0.438979,1.242457,0.300628,32.498499,0.080869,6.5996
249,492.982882,0.246779,-0.129842,1.29051,0.233874,28.701794,0.038114,6.621
250,546.918139,0.397781,-0.215273,1.234162,0.365015,26.477883,0.06823,6.6412
251,361.853908,-0.140503,0.202221,1.247055,0.123437,32.279403,0.035449,6.6598
252,355.211539,-0.169233,0.229101,1.214341,0.119736,28.384306,0.02618,6.6801
253,384.090202,0.323677,-0.191103,1.187514,0.265149,62.33933,0.054509,6.7
254,363.242779,0.132251,-0.080781,1.224015,0.10294,22.712279,0.035078,6.7191
255,594.331807,0.509029,-0.340424,1.198739,0.33721,26.679953,0.057184,6.7419
256,530.912915,0.575449,-0.341169,1.224259,0.468559,31.060877,0.07961,6.7621
257,373.261446,-0.542479,0.651652,1.158597,0.218347,31.51885,0.053064,6.7828
258,466.410363,0.323221,-0.209235,1.100684,0.227971,62.969206,0.043473,6.8035
259,515.856867,0.39656,-0.165206,1.070381,0.462707,29.468678,0.05783,6.8247
260,460.971006,0.518891,-0.414107,1.212915,0.209567,23.787205,0.057928,6.845
261,457.955805,0.159077,-0.012542,1.203114,0.29307,34.287131,0.047816,6.9779
262,443.90842,-0.043668,0.115465,1.221955,0.143594,22.87162,0.032089,7.0004
263,353.522115,-0.059686,0.123524,1.159786,0.127677,83.270522,0.023061,7.0201
264,290.681817,0.003441,0.016249,1.201475,0.03938,18.327211,0.014115,7.0394
265,458.251943,0.573112,-0.509031,1.276537,0.128163,19.309309,0.052623,7.0594
266,545.228547,0.270207,-0.126871,1.311373,0.286673,26.576661,0.044167,7.0812
267,381.410414,-0.316531,0.388299,1.326183,0.143537,144.711414,0.036546,7.1012
268,360.679427,-0.006509,0.058041,1.243844,0.103063,80.695731,0.02082,7.1204
269,509.235183,0.586182,-0.38533,1.304256,0.401703,35.590428,0.065671,7.1422
270,435.0139,0.208461,-0.10021,1.262389,0.216501,44.797585,0.033513,7.1623
271,478.05293,-0.213626,0.308771,1.206484,0.19029,52.169024,0.037809,7.1848
272,559.688226,0.180023,-0.096065,1.251743,0.167916,20.152198,0.033134,7.2057
273,566.439762,0.309226,-0.153067,1.315039,0.312319,25.172014,0.044641,7.2268
274,507.314279,0.104871,-0.055027,1.296757,0.099686,18.021445,0.021491,7.2474
275,317.834183,-0.307353,0.351719,1.309005,0.088732,25.933606,0.026736,7.2668
